group_id,ponto_de_onibus,latitude,longitude
1001,Jardim de Alah,-22.979600001353386,-43.21824000015678
1002,Antero de Quental,-22.985489997004432,-43.22350000021057
1003,Eurico Cruz,-22.960475000471845,-43.20677600049465 
